Brand,Product Name,Product Details,Product Price,Product Description,Discount,MRP,Stars,Total Ratings,Total Reviews
MICROSOFT,Laptop Go 3 Intel Core i5 12th Gen 1235U  , (8 GB/256 GB SSD/Windows 11 Home) XK1,70990,Intel Core i5 Processor (12th Gen)8 GB LPDDR5 RAMWindows 11 Operating System256 GB SSD31.5 cm (12.4 Inch) Touchscreen Display1 Year Onsite Warranty,28,80999,3.717,17,0
ASUS,"Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H ", (16 GB/512 GB SSD/Windows 11 Home/4 GB ...,70990,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 Inch) Display1 Year Onsite Warranty,20,84990,4.53,"3,397",293
MSI,Katana 15 Intel Core i7 13th Gen 13620H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,76590,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,35,154990,4.3974,974,92
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,63990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,36,94990,4558,558,48
SAMSUNG,Galaxy Book4 Intel Core i5 13th Gen 1335U   , (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ,55990,Intel Core i5 Processor (13th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,28,78189,4.3898,898,101
MSI,Thin 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,51990,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,20,70990,4.86,6,1
Acer,Aspire Lite AMD Ryzen 5 Hexa Core 5625U   , (16 GB/512 GB SSD/Windows 11 Home) AL15,34990,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty,35,56999,4.324,24,1
ASUS,TUF Gaming F17        , AI Powered Gaming Intel Core i5 11th Gen 11400H ,48990,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD43.94 cm (17.3 Inch) Display1 Year Onsite Warranty,36,77990,4.41,"1,155",102
MSI,Thin 15 Intel Core i5 13th Gen 13420H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,81690,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,51,94990,4.21,"1,022",60
MSI,Thin A15 AMD Ryzen 5 Hexa Core 7535HS   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,59990,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,50,78990,3.73,3,0
Acer,Predator Neo Intel Core i7 13th Gen 13700HX   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,104990,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year International Travelers Warranty (ITW),27,144999,4.25,"5,105",508
DELL,"Inspiron 15 with Backlit Keyboard, Intel Core i5 12th Gen 1235U", (8 GB/512 GB SSD/Windows 11 Hom...,46630,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Hardware Service,51,65104,4.25,"5,393",292
MSI,Sword 16 HX Intel Core i7 14th Gen 14700HX  , (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,134790,Intel Core i7 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display2 Year Onsite Warranty,17,151990,4.25,"5,393",292
MSI,Cyborg 15 AI PC Intel Core Ultra 5 125H  , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,96990,Intel Core Ultra 5 Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,12,111990,4.172,72,7
ASUS,Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U  , (8 GB/512 GB SSD/Windows 11 Home) E1404FA,33990,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,41,50990,3.98,8,1
ASUS,Vivobook 15 Intel Core i5 12th Gen 1235U   , (8 GB/512 GB SSD/Windows 11 Home) X1504ZA,47990,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,12,69990,4.655,55,7
ASUS,"Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U", (16 GB/512 GB SSD/Windows 11 H...,52990,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,16,73990,3.7423,423,29
MSI,Modern 14 Intel Core i7 13th Gen 1355U   , (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M,49990,Intel Core i7 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,50,85990,3.946,460,30
MSI,Cyborg 15 AI PC Intel Core Ultra 7 155H  , (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,113290,Intel Core Ultra 7 Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,32,129990,4.129,29,2
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,52990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,28,89990,3.717,17,0
Acer,Chromebook Intel Celeron Dual Core N4500     , (8 GB/64 GB EMMC Storage/Chrome OS) CB314,12990,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty,26,35999,4.29,90,14
ASUS,Vivobook 14 Intel Core i3 13th Gen 1315U   , (8 GB/512 GB SSD/Windows 11 Home) X1404VA,38990,Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,38,57990,4.3248,248,24
MSI,Katana 15 Intel Core i7 13th Gen 13620H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,76590,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,37,154990,4.3257,257,31
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,63990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,14,94990,4.25,"5,560",496
MSI,Modern 14 Intel Core i5 12th Gen 1235U   , (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO,38990,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,24,52990,4.86,6,1
Acer,Nitro V AMD Ryzen 5 Hexa Core 7535HS   , (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,60990,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW),27,85999,4.323,23,1
HP,15s AMD Ryzen 3 Quad Core 7320U    , (8 GB/512 GB SSD/Windows 11 Home) 15,32990,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,28,45438,4.34,"4,422",393
Lenovo,IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U  , (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,35430,AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD100.63 cm (39.62 cm) DisplayOffice Home and Student 20212 Yr Warranty,11,55090,3.8152,152,16
MSI,Thin 15 Intel Core i5 13th Gen 13420H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,81690,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,13,94990,3.73,3,0
MSI,Thin A15 AMD Ryzen 5 Hexa Core 7535HS   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,59990,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,33,78990,4.187,87,13
