Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Japan,JPN,GDP growth (annual %),GDP,1.560626697,0.753826746,1.675331752,0.643391024,-0.402169201,-4.168764571,2.696574042,0.941998775,1.475034811,0.104309022
Kazakhstan,KAZ,GDP growth (annual %),GDP,1.200000001,1.099999999,4.100000003,4.099999993,4.500000001,-2.499999996,4.299999997,3.2,5.1,5
Kenya,KEN,GDP growth (annual %),GDP,4.967721128,4.213517068,3.837958174,5.647946407,5.114158858,-0.272766327,7.590489473,4.859981043,5.719992412,4.724739947
Kyrgyz Republic,KGZ,GDP growth (annual %),GDP,3.875825445,4.335855922,4.739937224,3.757910136,4.600625657,-7.148977577,5.507007627,8.9675052,9.013292834,9.040135561
Cambodia,KHM,GDP growth (annual %),GDP,7.207034725,7.905501161,8.075039155,8.776223762,7.936950136,-3.555721934,3.089842841,5.129901108,5.007330438,5.975109396
Kiribati,KIR,GDP growth (annual %),GDP,11.26533124,7.088029601,3.749130019,3.4794388,3.264259304,-1.468055381,8.479737871,4.566325931,2.652010875,5.266897479
St. Kitts and Nevis,KNA,GDP growth (annual %),GDP,0.694135528,3.932703193,0.220941147,2.003525498,2.938246581,-15.30188917,0.367606879,10.48049415,3.021275261,0.312226856
"Korea, Rep.",KOR,GDP growth (annual %),GDP,2.920292673,3.17152749,3.433191764,3.176115682,2.313802106,-0.700242318,4.612967955,2.727564567,1.583014674,2.003611018
Kuwait,KWT,GDP growth (annual %),GDP,0.592770817,2.926075843,-4.712222705,2.74333045,2.263817066,-4.817315934,1.672130543,6.75866712,-1.66720598,-2.560111
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),GDP,0.252853447,-0.53611486,1.981520908,1.544156718,0.597515257,-6.549952861,6.902702472,3.947053262,2.166243774,1.97324501
Lao PDR,LAO,GDP growth (annual %),GDP,7.270065844,7.022836255,6.892530873,6.247960008,5.457735092,0.503031829,2.528351005,2.707426526,3.745681402,4.130192644
Lebanon,LBN,GDP growth (annual %),GDP,0.462320793,1.554549409,0.903028464,-1.884705756,-6.914924729,-21.39989969,-7.001238625,-0.621678971,-0.76058447,
Liberia,LBR,GDP growth (annual %),GDP,-0.01856497,-1.554958617,2.45515592,1.157575122,-2.467297635,-2.982491276,4.986712835,4.808105173,4.683756888,4.02185465
Libya,LBY,GDP growth (annual %),GDP,-0.842656252,-1.490941117,32.49180219,7.941367853,-11.19608289,-29.45529673,28.29968234,-8.299818112,10.20004979,1.89995052
St. Lucia,LCA,GDP growth (annual %),GDP,0.101917836,3.427872145,3.379826173,2.886779022,-0.700322396,-24.36147321,11.59878358,20.38844318,2.209882765,3.891750242
Latin America & Caribbean,LCN,GDP growth (annual %),GDP,0.238232861,-0.729799173,1.553292273,1.217913197,0.31207932,-6.860634047,7.064042553,4.084897075,2.249542102,2.253651175
Least developed countries: UN classification,LDC,GDP growth (annual %),GDP,2.750627719,3.656909675,4.498709634,4.659419088,4.91325561,-0.084161467,2.868041579,4.750999015,3.028799499,3.856458097
Low income,LIC,GDP growth (annual %),GDP,-2.062946941,0.504076624,1.884833577,2.846889713,3.010329147,-1.150430223,1.279329139,3.357591423,-0.209388254,2.326161723
Liechtenstein,LIE,GDP growth (annual %),GDP,,,,,,,,,,
Sri Lanka,LKA,GDP growth (annual %),GDP,4.205955474,5.05362489,6.460681271,2.310084255,-0.220483887,-4.624515037,4.207476495,-7.349193013,-2.32984819,5.00871931
Lower middle income,LMC,GDP growth (annual %),GDP,5.917039228,5.685101771,5.441132482,5.423495811,4.064076805,-3.977383561,6.490616658,6.240894002,6.042005955,5.173249788
Low & middle income,LMY,GDP growth (annual %),GDP,4.694238192,4.7358934,5.334144523,4.992533717,4.157954442,-1.121388032,7.386517028,3.999850016,4.822675455,4.360750375
Lesotho,LSO,GDP growth (annual %),GDP,3.12406678,3.608907317,-3.138174937,-1.480633158,-1.417993831,-8.155957855,2.266709618,2.387780202,1.826624767,2.854522532
Late-demographic dividend,LTE,GDP growth (annual %),GDP,4.70788935,4.45093233,5.262208668,5.43978542,4.747055799,0.236064722,7.592655242,3.287003765,4.428049512,4.487550054
Lithuania,LTU,GDP growth (annual %),GDP,2.832806433,2.671922151,4.612243103,4.918367801,4.677351835,0.042815834,6.380016062,2.53752574,0.342262716,2.772631245
Luxembourg,LUX,GDP growth (annual %),GDP,2.269784233,4.978190115,1.317187138,1.611295613,2.749319291,-0.510051634,6.929734258,-1.097416897,0.099439994,0.358612539
Latvia,LVA,GDP growth (annual %),GDP,3.783367121,2.55168602,3.398948726,4.309712863,0.675372772,-3.469227508,6.942541731,1.90853419,-0.941606069,-0.046108011
"Macao SAR, China",MAC,GDP growth (annual %),GDP,-21.75400788,-0.701510213,9.918558445,6.359170306,-2.460909401,-54.40209258,22.462202,-18.95694149,75.30841843,7.84960207
St. Martin (French part),MAF,GDP growth (annual %),GDP,1,5,-8.00000324,-7.999995069,6.500003637,-12.50000225,4.899999671,,,
Morocco,MAR,GDP growth (annual %),GDP,4.344582976,0.521185506,5.057898162,3.06564133,2.890974761,-7.178207442,8.154738898,1.812692422,3.65564411,3.79336516
Monaco,MCO,GDP growth (annual %),GDP,4.910371765,3.008443588,-3.206183238,5.697901212,7.12088952,-13.23910483,22.23221559,11.26629552,5.443950888,8.510537589
Moldova,MDA,GDP growth (annual %),GDP,-0.338235622,4.646014363,4.175612051,4.075595466,3.552314085,-8.27597832,13.92999979,-4.600000026,1.200000049,0.103059364
Madagascar,MDG,GDP growth (annual %),GDP,3.132298075,3.993146062,3.933307595,3.194356517,4.411232129,-7.137671621,4.650683432,4.156097784,4.203046158,4.2
Maldives,MDV,GDP growth (annual %),GDP,3.868135365,6.375283067,7.074428632,8.568955583,6.923059891,-32.90882878,37.50787012,13.82608952,4.942863012,3.494404227
