Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Egypt, Arab Rep.",EGY,inflation,FP.CPI.TOTL.ZG,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,5.04493289,5.214049405,13.89566098,33.88477631,28.27058993
Euro area,EMU,inflation,FP.CPI.TOTL.ZG,,,,,,,,,,
Eritrea,ERI,inflation,FP.CPI.TOTL.ZG,,,,,,,,,,
Spain,ESP,inflation,FP.CPI.TOTL.ZG,-0.50036571,-0.202598,1.956076334,1.674981369,0.699518994,-0.322753017,3.09313512,8.390576341,3.532361335,2.774178265
Estonia,EST,inflation,FP.CPI.TOTL.ZG,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312,-0.444531098,4.653166738,19.39826341,9.15922508,3.520560533
Ethiopia,ETH,inflation,FP.CPI.TOTL.ZG,9.56889956,6.628133372,10.68711503,13.83303566,15.80963217,20.35634686,26.83952216,33.88987971,30.21882781,21.03774606
European Union,EUU,inflation,FP.CPI.TOTL.ZG,-0.06164468,0.183334861,1.429107433,1.73860862,1.630522608,0.476498853,2.554506996,8.833698867,6.299424874,2.435312024
Fragile and conflict affected situations,FCS,inflation,FP.CPI.TOTL.ZG,2.676235314,3.190561797,4.180723319,2.96760366,2.452802141,2.89819376,4.259364175,9.39075934,7.114592053,4.42757649
Finland,FIN,inflation,FP.CPI.TOTL.ZG,-0.20792884,0.356684501,0.754015047,1.083820984,1.02409393,0.290554556,2.194574323,7.123507733,6.250643222,1.565689062
Fiji,FJI,inflation,FP.CPI.TOTL.ZG,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825,-2.595243259,0.155855722,4.320118562,2.344082966,4.511382565
France,FRA,inflation,FP.CPI.TOTL.ZG,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.476498853,1.64233141,5.222367484,4.878357265,1.999049423
Faroe Islands,FRO,inflation,FP.CPI.TOTL.ZG,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,inflation,FP.CPI.TOTL.ZG,-0.298115837,-1.037468064,0.582253735,1.498400236,1.923851708,0.554594631,3.191284066,5.408743755,,
Gabon,GAB,inflation,FP.CPI.TOTL.ZG,-0.338795189,2.106707128,2.651925831,4.749066521,2.464567562,1.352761107,1.086907465,4.231247983,3.629015342,1.173119984
United Kingdom,GBR,inflation,FP.CPI.TOTL.ZG,0.368046842,1.008417368,2.557755776,2.292839903,1.738104601,0.989486704,2.518371096,7.922048831,6.793967068,3.271572946
Georgia,GEO,inflation,FP.CPI.TOTL.ZG,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217,5.20246489,9.566914338,11.89816542,2.487760566,1.10971758
Ghana,GHA,inflation,FP.CPI.TOTL.ZG,17.1499695,17.45463471,12.37192155,7.808765166,7.143640033,9.887289563,9.971088675,31.2558951,38.10696563,22.84832812
